C.I.BUILDERS PRIVATE LIMITED,U45201MP1998PTC013216,Active,cibuilders08@gmail.com,182 ZONE IMP NAGARBHOPAL533MP,22 December 1998,"17 years, 4 month, 22 days","10,000,000","4,000,000",Yes,https://www.zaubacorp.com/company/C-I-BUILDERS-PRIVATE-LIMITED/U45201MP1998PTC013216
C.P. RE-ROLLERS LIMITED,U28112WB2001PLC093968,Active,corpservice15@gmail.com,"RATURIA , ANGADPUR INDUSTRIAL AREADURGAPUR BURDWAN",28 November 2001,"14 years, 5 month, 15 days","225,000,000","224,620,928",Yes,https://www.zaubacorp.com/company/C-P-RE-ROLLERS-LIMITED/U28112WB2001PLC093968
C R I PUMPS PRIVATE LIMITED,U29120TZ1996PTC006902,Active,amudhalakshmi.a@cripumps.com,"BLOCK NO.56,B/H JOHNSONS SCREENINDIA LTD.,KHATRAJ-KALOL ROAD,KHATRAJ553GJ",31 January 1996,"20 years, 3 month, 13 days","152,500,000","125,000,000",Yes,https://www.zaubacorp.com/company/C-R-I-PUMPS-PRIVATE-LIMITED/U29120TZ1996PTC006902
CB AGROS AND SHOPPING MALLS PRIVATE LIMITED,U01119AP2004PTC043288,Active,cbasmpl@gmail.com,"D.NO. RS NO.392/A,MAIN RAODAMALAPURAM626AP",20 May 2004,"11 years, 11 month, 24 days","100,000,000","58,163,140",No,Not Applicable
CBH PUBLISHERS DISTRIBUTORS PRIVATE LIMITED,U22110TN2004PTC053471,Strike off,np_manohar@yahoo.co.in,"CBS PUBLISHERS & DISTRIBUTORS PBHURUK PRESTIGE, SR. NO.52/12/2/1/32,NARHE KATRAJ DEHE RD PUNE601MH",14 June 2004,"11 years, 10 month, 29 days","1,000,000","100,000",No,Not Applicable
CBS TECHNOLOGIES PRIVATE LIMITED,U45201DL2003PTC119302,Active,cbsenergy@gmail.com,"H-6, SITE-V, IND. AREA,SURAJPURGR. NOIDA234UP",06 March 2003,"13 years, 2 month, 7 days","20,000,000","1,552,800",Yes,https://www.zaubacorp.com/company/CBS-TECHNOLOGIES-PRIVATE-LIMITED/U45201DL2003PTC119302
CCR LOGISTICS PRIVATE LIMITED,U60231MH2012PTC231370,Active,ccrngp@gmail.com,"101, USHA COMPLEX 345KINGSWAYNAGPUR585MH",23 May 2012,"3 years, 11 month, 21 days","40,000,000","40,000,000",Yes,https://www.zaubacorp.com/company/CCR-LOGISTICS-PRIVATE-LIMITED/U60231MH2012PTC231370
CCS INFOTECH LIMITED,L72300TN1997PLC039682,Active,info@ccsinfotech.com,"FLAT NO 7 III FLOOR CCS TOWERS14 PERIYAR ROAD, T NAGARCHENNAI685TN",29 December 1997,"18 years, 4 month, 15 days","510,000,000","100,450,000",Yes,https://www.zaubacorp.com/company/CCS-INFOTECH-LIMITED/L72300TN1997PLC039682
CDE ASIA LIMITED,U29230WB2000PTC118249,Active,ajain@cdeasia.com,"DHULAGARH INDUSTRIAL PARK (NH-6)PO-DHULAGARH,PS-SANKRAIL HOWRAH",16 March 2000,"16 years, 1 month, 28 days","40,000,000","36,640,000",Yes,https://www.zaubacorp.com/company/CDE-ASIA-LIMITED/U29230WB2000PTC118249
CHL CARDIAC CARE PRIVATE LIMITED,U85110MP2008PTC020690,Active,info@chlhospitals.com,142 PHADNIS COLONY A B ROADLIG TRIANGLEINDORE527MP,12 May 2008,"8 years, 0 month, 1 days","75,000,000","68,100,000",No,Not Applicable
CHW FORGE PRIVATE LIMITED,U27310UP1970PTC057609,Active,chw@chwforge.com,NEAR HAPUR ROAD FLYOVERMALIWERAGHAZIABAD233UP,17 November 1970,"45 years, 5 month, 26 days","71,500,000","35,482,800",Yes,https://www.zaubacorp.com/company/CHW-FORGE-PRIVATE-LIMITED/U27310UP1970PTC057609
C I 2 JEWELLERY PRIVATE LIMITED,U27205MH2006PTC163558,Active,info@ci2jewels.com,PLOT NO-GJ-5 SEEPZ SEZANDHERI(E)MUMBAI598MH,04 August 2006,"9 years, 9 month, 9 days","50,000,000","12,500,000",No,Not Applicable
CICB-CHEMICON PRIVATE LIMITED,U74140KA1979PTC003456,Active,finance@cicb-chemicon.com,"132,BAIKAMPADY INDUSTRIAL AREAMANGALOREMANGALORE660KN",31 January 1979,"37 years, 3 month, 13 days","50,000,000","43,962,700",Yes,https://www.zaubacorp.com/company/CICB-CHEMICON-PRIVATE-LIMITED/U74140KA1979PTC003456
CICON ENGINEERS PRIVATE LIMITED,U85110KA1997PTC022047,Active,cicon@usa.net,"33, I FLOOR, PATALAMMA TEMPLE STRETNEAR SOUTH END CIRCLE,BASAVANAGUDI,BANGALOREBANGALOREKN",31 March 1997,"19 years, 1 month, 13 days","50,000,000","42,355,000",No,Not Applicable
CIM TOOLS PRIVATE LIMITED,U29199KA1997PTC021886,Active,cim.director@cimtoolsindia.com,PLOT NO 467-469 SITE NO 1D 12TH CRSIV PHASE PEENYA INDUSTIRAL AREABANGALORE656KN,28 February 1997,"19 years, 2 month, 13 days","65,000,000","55,000,000",Yes,https://www.zaubacorp.com/company/CIM-TOOLS-PRIVATE-LIMITED/U29199KA1997PTC021886
CIMS HOSPITAL PRIVATE LIMITED,U85110GJ2001PTC039962,Active,company.secretary@cimshospital.org,"OPP. SHUKAN MALLSCIENCE CITY TOAD,SOLAAHMEDABAD554GJ",04 September 2001,"14 years, 8 month, 9 days","100,000,000","82,378,816",Yes,https://www.zaubacorp.com/company/CIMS-HOSPITAL-PRIVATE-LIMITED/U85110GJ2001PTC039962
CIPSA TEC INDIA PRIVATE LIMITED,U30007KA2005PTC037765,Active,prolegalindia@gmail.com,PLOT NO 7 AND 8 HIREHALLI INDL AREAHIREHALLITUMKUR654KN,25 November 2005,"10 years, 5 month, 18 days","410,000,000","387,730,176",No,Not Applicable
CIS BUREAUS FACILITY SERVICES PRIVATE LIMITED,U93000MH2004PTC147397,Active,PM.ASSOCIATES@HOTMAIL.COM,7 STYA NIKETAN IST FLOORMOTI BAGH 2NEW DELHI181DL,09 July 2004,"11 years, 10 month, 4 days","50,000,000","50,000,000",No,Not Applicable
CMI FPE LIMITED,L99999MH1986PLC039921,Active,akash.ohri@cmifpe.com,"A-84, 2/3,MIDC, TALOJA INDL. AREA,TALOJA600MH",28 May 1986,"29 years, 11 month, 16 days","100,000,000","49,378,000",No,Not Applicable
CMI INDUSTRY AUTOMATION PRIVATE LIMITED,U29223MH1997PTC111815,Active,haresh.vala@cmifpe.com,"RAMDEV PLAZA, INDL GALA NO 2/501/502, NR HP PETROL PUMP, KASHIGAONMIRA597MH",10 November 1997,"18 years, 6 month, 3 days","10,000,000","4,006,000",No,Not Applicable
CMJ BREWERIES PRIVATE LIMITED,U51220ML2007PTC008289,Active,cmjgroup1@gmail.com,"CMJ HOUSE, FERNDALE COMPLEX,BLOCK-III, KEATING ROADSHILLONG390MG",12 November 2007,"8 years, 6 month, 1 days","1,050,000,000","1,000,327,300",Yes,https://www.zaubacorp.com/company/CMJ-BREWERIES-PRIVATE-LIMITED/U51220ML2007PTC008289
CMM TRADELINKS PRIVATE LIMITED,U51397GA2007PTC005380,Active,auditor@cmmgroup.in,"2ND FLOOR, CMM BLDG RUA DE OVEMPANAJI GOATISWADI665GA",11 July 2007,"8 years, 10 month, 2 days","50,000,000","42,000,000",No,Not Applicable
CMRGS INFRASTRUCTURE PROJECTS LIMITED,U45201OR2010PLC011721,Active,cmrgsinfra@gmail.com,"PLOT NO.128,DHARAM VIHAR,KHANDAGIRI,BHBANESWAR471OR",11 March 2010,"6 years, 2 month, 2 days","18,000,000","11,400,000",No,Not Applicable
CPC DIAGNOSTICS PRIVATE LIMITED,U52599TN1991PTC021095,Active,ramesh@cpcdiagnostics.in,"9,5-TH FLOOR,GOKUL TOWER9410,C P RAMASWAMY ROADCHENNAI685TN",10 July 1991,"24 years, 10 month, 3 days","30,000,000","29,986,000",Yes,https://www.zaubacorp.com/company/CPC-DIAGNOSTICS-PRIVATE-LIMITED/U52599TN1991PTC021095
CRR TELECOM PRIVATE LIMITED,U64200WB2009PTC135568,Active,shyams.parlar2007@gmail.com,VI+PO-DUILLYA 432WB,02 June 2009,"6 years, 11 month, 11 days","50,000,000","19,743,060",No,Not Applicable
CS AEROTHERM PRIVATE LIMITED,U31909KA1987PTC008470,Active,csaerotherm@gmail.com,"7PLOT NO.143-H,BOMMASANDRA INDUSTRIAL AREABANGALORE656KN",07 July 1987,"28 years, 10 month, 6 days","5,000,000","4,388,000",No,Not Applicable
CS COMPONENTS PRIVATE LIMITED,U74210MH2001PTC132527,Active,govind@cscomponents.in,"146 TOY CITY, MAHILA UDYAMI PARK-IIECOTECH-IIIGREATER NOIDA234UP",28 June 2001,"14 years, 10 month, 15 days","10,000,000","4,800,000",Yes,https://www.zaubacorp.com/company/CS-COMPONENTS-PRIVATE-LIMITED/U74210MH2001PTC132527
CT RAMANATHAN INFRASTRUCTURE PRIVATE LIMITED,U45200TN2008PTC066297,Active,csakjain@rediffmail.com,62-B ORMES ROADKILPAUKCHENNAI685TN,04 February 2008,"8 years, 3 month, 9 days","150,000,000","100,000,000",Yes,https://www.zaubacorp.com/company/CT-RAMANATHAN-INFRASTRUCTURE-PRIVATE-LIMITED/U45200TN2008PTC066297
CTC MALL TRADEX PRIVATE LIMITED,U70101DL2000PTC104007,Active,sachdevakk@hotmail.com,"3, NAJAFGARH ROADMOTI NAGARNEW DELHI181DL",25 February 2000,"16 years, 2 month, 17 days","70,000,000","68,335,296",Yes,https://www.zaubacorp.com/company/CTC-MALL-TRADEX-PRIVATE-LIMITED/U70101DL2000PTC104007
CTM TECHNICAL TEXTILES LIMITED,U17121GJ2006PLC049014,Active,nihariimpex@gmail.com,"OPP.UDAY COTTON, IRANA ROAD,BUDUSANA ,KADI ,MEHSANA.551GJ",05 September 2006,"9 years, 8 month, 8 days","17,500,000","15,000,000",No,Not Applicable
CTS INDUSTRIES LIMITED,U24117WB2003PLC111345,Active,ctsinds@gmail.com,"B-9 & C-36, UPSIDCSIKANDRABADBULANDSHAR235UP",09 May 2003,"13 years, 0 month, 4 days","70,000,000","59,528,480",Yes,https://www.zaubacorp.com/company/CTS-INDUSTRIES-LIMITED/U24117WB2003PLC111345
CACHE FURNITURES LIMITED,U20220TG2008PLC056976,Active,cachefurniture@hotmail.com,3-1-215 TO 220/1-3SOMASUNDARAM STREETSECUNDERABAD617TS,04 January 2008,"8 years, 4 month, 9 days","105,000,000","103,000,000",No,Not Applicable
CALCO POLY TECHNIK PRIVATE LIMITED,U25190DL2010PTC199040,Active,contact@calco.in,"PLOT NO-78,PH-4,HSIIDC,KUNDLIDISTT. SONIPATSONIPATSONEPATHR",12 February 2010,"6 years, 3 month, 1 days","15,000,000","10,902,000",No,Not Applicable
CALCOM CEMENT INDIA LIMITED,U26942AS2004PLC007538,Active,dedhwal.rita@dalmiabharat.com,JAMUNANAGARUMRANGSHUUMRANGSU412AS,20 September 2004,"11 years, 7 month, 23 days","15,000,000,500","4,087,864,830",Yes,https://www.zaubacorp.com/company/CALCOM-CEMENT-INDIA-LIMITED/U26942AS2004PLC007538
CALIBRE CHEMICALS PRIVATE LIMITED,U24100MH1983PTC031128,Active,mail@calibrechem.com,"903, GIDC , SARIGAMUMBERGAONSARIGAM572GJ",20 October 1983,"32 years, 6 month, 24 days","100,000,000","99,815,504",Yes,https://www.zaubacorp.com/company/CALIBRE-CHEMICALS-PRIVATE-LIMITED/U24100MH1983PTC031128
CALICA RESOURCES PRIVATE LIMITED,U51900GJ2011PTC066405,Active,accounts@guargum.com,"BLOCK NO.395, ASGWAMEGH INDUSTRIALESTATE,SARKEJ BAVLA HIWAY,CHANGODARSANAND554GJ",19 July 2011,"4 years, 9 month, 25 days","10,000,000","9,950,000",No,Not Applicable
CALSTAR SPONGE LIMITED,U27102WB2004PLC097962,Active,jalanrajesh@hotmail.com,BAMUNARA INDUSTRIAL AREABAMUNARADURGAPURBURDWAN,01 March 2004,"12 years, 2 month, 12 days","50,000,000","38,375,752",Yes,https://www.zaubacorp.com/company/CALSTAR-SPONGE-LIMITED/U27102WB2004PLC097962
CALZINI FASHIONS LIMITED,U74994DL2007PLC164774,Active,aayush@indiasocks.com,A-79SEC-63NOIDA234UP,14 June 2007,"8 years, 10 month, 29 days","25,000,000","22,575,000",Yes,https://www.zaubacorp.com/company/CALZINI-FASHIONS-LIMITED/U74994DL2007PLC164774
CAMBATA AVIATION PRIVATE LIMITED,U63013DL1954PTC238906,Active,bkumar@cambataavia.com,IGI AIRPORT TERMINAL-IILINE MAINTENANCE BLOCK -ANEW DELHI186DL,17 February 1954,"62 years, 2 month, 24 days","310,000,000","300,915,008",Yes,https://www.zaubacorp.com/company/CAMBATA-AVIATION-PRIVATE-LIMITED/U63013DL1954PTC238906
CAMLIN FINE SCIENCES LIMITED,L74100MH1993PLC075361,Active,yogesh.chikhale@camlinfs.com,"PLOT NO F/11 & F/12, WICELOPP SEEPZ MAIN GATE,ANDHERI (E)599MH",30 November 1993,"22 years, 5 month, 13 days","150,000,000","96,665,832",Yes,https://www.zaubacorp.com/company/CAMLIN-FINE-SCIENCES-LIMITED/L74100MH1993PLC075361
CANAAN ENGINEERING PRIVATE LIMITED,U28900MH2005PTC152357,Active,amit@canaanengineering.in,"CANNAN COMPLEX, NR. TRIVENI NAGAR,MALAD - EAST, MUMBAIMUMBAIMAHARASHTRA",01 April 2005,"11 years, 1 month, 12 days","50,000,000","37,692,312",Yes,https://www.zaubacorp.com/company/CANAAN-ENGINEERING-PRIVATE-LIMITED/U28900MH2005PTC152357
CANARA JEWEL TEX PRIVATE LIMITED,U36911KA2006PTC038274,Active,fairoz.thota@rediffmail.com,WEDDING PALACENEAR CITY BUS STANDUDUPI652KN,19 January 2006,"10 years, 3 month, 25 days","50,000,000","100,000",No,Not Applicable
CANARA LIGHTING INDUSTRIES PRIVATE LIMITED,U99999KA1985PTC062109,Active,roc@kgacharya.com,"BATA COMPOUND, POKHRAN ROAD NO.1,KHOPATTHANE597MH",29 October 1985,"30 years, 6 month, 15 days","22,500,000","15,542,500",Yes,https://www.zaubacorp.com/company/CANARA-LIGHTING-INDUSTRIES-PRIVATE-LIMITED/U99999KA1985PTC062109
CANARA OVERSEAS LIMITED,U51219KA2002PLC031126,Active,drlng1964@gmail.com,ASWATHA PURAMKALLUR MDLKURNOOL DT633AP,17 October 2002,"13 years, 6 month, 27 days","50,000,000","44,005,300",Yes,https://www.zaubacorp.com/company/CANARA-OVERSEAS-LIMITED/U51219KA2002PLC031126
CANARA TRADERS & PRINTERS PRIVATE LIMITED,U22219TN1995PTC033631,Active,accounts@canaragroup.com,"TYPE-II,33 VSI ESTATETIRUVANMIYURCHENNAI685TN",24 November 1995,"20 years, 5 month, 19 days","85,000,000","31,170,000",Yes,https://www.zaubacorp.com/company/CANARA-TRADERS-PRINTERS-PRIVATE-LIMITED/U22219TN1995PTC033631
CANBANK FACTORS LIMITED,U85110KA1991PLC011960,Active,canfact.bgl@canbankfactors.com,"NO 17, 1ST FLOOR, SESHADRI ROADBANGALOREBANGALOREBANGALOREKN",10 May 1991,"25 years, 0 month, 3 days","1,000,000,000","200,000,000",Yes,https://www.zaubacorp.com/company/CANBANK-FACTORS-LIMITED/U85110KA1991PLC011960
CANDY SPIRITS PRIVATE LIMITED,U15510MH2005PTC150702,Active,accounts@candywines.com,"2, JAYALAXMI IND. PREMISES CO-OP SOC. LTD., KHETANI ESTATE, BAZAR WORDKURLA WEST598MH",18 January 2005,"11 years, 3 month, 26 days","10,000,000","9,500,000",No,Not Applicable
CANOPY ESTATES PRIVATE LIMITED,U70102KA2005PTC038035,Active,yasir@canopy.in,CANOPY HOUSE 969 5A CROSSHRBR IST BLOCK KALYAN NAGARBANGALORE656KN,23 December 2005,"10 years, 4 month, 21 days","50,000,000","10,000,000",No,Not Applicable
CANTER ENGINEERS PRIVATE LIMITED,U28900MH2004PTC148304,Active,eknath@cantergroup.com,301-303 3RD FLOOR PURANIKCAPITOL OPP HYPERCITYKASARWADAVLI597MH,31 August 2004,"11 years, 8 month, 13 days","12,500,000","12,500,000",Yes,https://www.zaubacorp.com/company/CANTER-ENGINEERS-PRIVATE-LIMITED/U28900MH2004PTC148304
CAP SEAFOODS PRIVATE LIMITED,U15125KL2004PTC016933,Active,company@abad.in,A DIVN.OF ABAD FISHERIES1/71.VYPEEN PO.AZHEEKKALKOCHI676KL,09 March 2004,"12 years, 2 month, 4 days","25,000,000","24,476,400",No,Not Applicable
CAPACIT'E ENGINEERING PRIVATE LIMITED,U45400DL2012PTC231428,Active,cscapacite@gmail.com,"A-503, SOMDUTT CHAMBER-I5-BHIKAJI CAMA PLACENEW DELHI181DL",13 February 2012,"4 years, 3 month, 0 days","30,000,000","21,000,000",No,Not Applicable
CAPARO FINANCIAL SOLUTIONS LIMITED,U65910DL1994PLC057109,Active,shweta.awasthi@caparo.co.in,"101-104, NAVRANG HOUSE21, K.G. MARGNEW DELHI181DL",27 January 1994,"22 years, 3 month, 17 days","600,000,000","449,670,560",No,Not Applicable
CAPITAL AGRO EXPORT PRIVATE LIMITED,U51226PB1998PTC021375,Active,psahuja111@gmail.com,TARN TARANTARN TARANTARN TARAN791PB,08 May 1998,"18 years, 0 month, 5 days","9,000,000","9,000,000",Yes,https://www.zaubacorp.com/company/CAPITAL-AGRO-EXPORT-PRIVATE-LIMITED/U51226PB1998PTC021375
CAPITAL ELECTECH PRIVATE LIMITED,U31200DL2005PTC139726,Active,capital109@gmail.com,B-163SWARANJAYANTI PURAMGHAZIABAD231UP,17 August 2005,"10 years, 8 month, 27 days","5,000,000","1,499,000",Yes,https://www.zaubacorp.com/company/CAPITAL-ELECTECH-PRIVATE-LIMITED/U31200DL2005PTC139726
CAPITAL IMPEX PRIVATE LIMITED,U51909DL1993PTC052272,Active,cipl.india@yahoo.com,"C 91/9, WAZIRPUR INDS.AREA DELHI181DL",23 February 1993,"23 years, 2 month, 18 days","40,000,000","38,000,000",No,Not Applicable
CAPITAL METERS LIMITED,U31200DL1985PLC021872,Active,capital@capitalpowers.com,"A-17,SECTOR-09,NOIDA NOIDA234UP",26 August 1985,"30 years, 8 month, 18 days","50,000,000","40,350,000",No,Not Applicable
RJ Capital Overseas Private Limited,U93000MH2012PTC227878,Active,rjgroup@hotmail.com,VILL.PIDDITARN TARANTARN TARAN791PB,09 March 2012,"4 years, 2 month, 4 days","20,000,000","10,000,000",No,Not Applicable
CAPITAL POWER INFRASTRUCTURE LIMITED,U29220DL2008PLC172297,Active,capital@capitalpowers.com,DHARAM PURI NALA PAR FAFRANAMODI NAGARMODI NAGAR233UP,04 January 2008,"8 years, 4 month, 9 days","140,000,000","120,000,000",No,Not Applicable
CAPITAL POWER SYSTEMS LIMITED,U40105DL1988PLC033239,Active,capital@capitalpowers.com,B 40SECTOR-IVNOIDA234UP,20 September 1988,"27 years, 7 month, 23 days","90,000,000","69,500,000",Yes,https://www.zaubacorp.com/company/CAPITAL-POWER-SYSTEMS-LIMITED/U40105DL1988PLC033239
CAPRICORN FOOD PRODUCTS INDIA LIMITED,U15499TN1998PLC041231,Active,accts@capricorngroup.com,PALGUNTASATYAVEDU MANDALCHITTOOR DISTCHITTOOR,08 October 1998,"17 years, 7 month, 5 days","300,000,000","290,000,000",Yes,https://www.zaubacorp.com/company/CAPRICORN-FOOD-PRODUCTS-INDIA-LIMITED/U15499TN1998PLC041231
CAPRICORN ISPAT UDYOG PRIVATE LIMITED,U27109WB2004PTC100085,Active,capricornispat@gmail.com,"AT NIDHIRAMPUR, PO-DURLOVPUR PS GANGAJAL GHATI, BANKURA429WB",08 October 2004,"11 years, 7 month, 5 days","30,000,000","25,630,000",No,Not Applicable
CAPRICORN OILS LIMITED,U15203WB1997PLC082728,Active,smidden@yahoo.com,ALAMGANJPO: NUTANGANJ 425WB,29 January 1997,"19 years, 3 month, 15 days","32,500,000","30,043,000",Yes,https://www.zaubacorp.com/company/CAPRICORN-OILS-LIMITED/U15203WB1997PLC082728
CAPTAIN POLYPLAST LIMITED,L25209GJ1997PLC031985,Active,csksdoffice@gmail.com,"SURVEY NO.267,PLOT NO. 10A - 118-B NATIONAL HIGHWAYSHAPAR VERAVALRAJKOT",27 March 1997,"19 years, 1 month, 17 days","110,000,000","100,757,584",Yes,https://www.zaubacorp.com/company/CAPTAIN-POLYPLAST-LIMITED/L25209GJ1997PLC031985
CAPTAIN TRACTORS PRIVATE LIMITED,U51909GJ1994PTC022141,Active,info@captaintractors.com,"SURVEY NO 01/01,P NO 6PADAVLA ROADSHAPAR VERAVALRAJKOT",27 May 1994,"21 years, 11 month, 17 days","50,000,000","45,900,000",Yes,https://www.zaubacorp.com/company/CAPTAIN-TRACTORS-PRIVATE-LIMITED/U51909GJ1994PTC022141
CARBON EDGE INDUSTRIES LIMITED,U21015WB1983PLC036934,Active,accounts@carbonedgeindustries.com,"SURVEY NO. 170,ANJAR-MUNDRA ROAD,VILL-CHHASARA, VAVAR ROADTAL MUNDRA KUTCH548GJ",18 November 1983,"32 years, 5 month, 25 days","50,000,000","36,979,380",Yes,https://www.zaubacorp.com/company/CARBON-EDGE-INDUSTRIES-LIMITED/U21015WB1983PLC036934
CARBORUNDUM UNIVERSAL LIMITED,L29224TN1954PLC000318,Active,investorservices@cumi.murugappa.com,"K-3,ASHI INDUSTRIAL ESTATE, LATHERDEVA HOON, MANLOURROORKEE161UC",21 April 1954,"62 years, 0 month, 22 days","387,249,984","188,379,552",Yes,https://www.zaubacorp.com/company/CARBORUNDUM-UNIVERSAL-LIMITED/L29224TN1954PLC000318
CARDIO FITNESS (INDIA) PRIVATE LIMITED,U74899DL1995PTC067255,Active,tannu.arora@cardiofitness.com,"B-23, OKHLA INDUSTRIAL AREAPHASE-IINEW DELHI190DL",07 April 1995,"21 years, 1 month, 6 days","10,000,000","9,600,000",Yes,https://www.zaubacorp.com/company/CARDIO-FITNESS-INDIA-PRIVATE-LIMITED/U74899DL1995PTC067255
CARE CORUPACK LIMITED,U15549GJ1995PLC028116,Active,abhisheksagrawal@yahoo.co.in,"SURVEY NO 127, JALALPUR,GODHNESHWARDHOLKA, BAGODARA HIGHWAY, DHOLKAAHMEDABAD554GJ",14 November 1995,"20 years, 5 month, 29 days","20,000,000","11,018,500",Yes,https://www.zaubacorp.com/company/CARE-CORUPACK-LIMITED/U15549GJ1995PLC028116
CARE OFFICE EQUIPMENT LIMITED,U52399GJ1998PLC034605,Active,hemant@careoffice.co.in,"GF-8, ZODIAC SQUARE, BESIDESVISHAL MEGA MART, OPP. GURUDWARA,AHMEDABAD554GJ",31 August 1998,"17 years, 8 month, 13 days","50,000,000","48,730,000",Yes,https://www.zaubacorp.com/company/CARE-OFFICE-EQUIPMENT-LIMITED/U52399GJ1998PLC034605
CARGILL INDIA PRIVATE LIMITED,U51109HR2000PTC034566,Not Available for eFiling,-,"14TH FLOOR, BUILDING 9A, DLF CYBERCITY, PHASE-III,GURGAON179HR",18 October 2000,"15 years, 6 month, 26 days","900,000,000","806,597,500",No,Not Applicable
CARGO MOTORS (GUJRAT) PRIVATE LIMITED,U50100DL1985PTC022168,Active,rakesh.pandey@cargoford.com,ANIMESH C G ROADAHMEDABADAHMEDABAD554GJ,04 October 1985,"30 years, 7 month, 9 days","30,000,000","30,000,000",Yes,https://www.zaubacorp.com/company/CARGO-MOTORS-GUJRAT-PRIVATE-LIMITED/U50100DL1985PTC022168
CARGO SERVICE CENTER INDIA PRIVATE LIMITED,U63010MH1994PTC078721,Active,harish.shetty@cscindia.in,"301,303,RANGOLI,SAHAR RD,ANDHERI EMUMBAIMUMBAI598MH",02 June 1994,"21 years, 11 month, 11 days","40,000,000","38,002,180",No,Not Applicable
CARGO SOLAR POWER ( GUJARAT) PRIVATE LIMITED,U40106DL2010PTC203686,Active,upreti.m@cargomotors.co.in,CARGO HOUSE OPP GANDHI ASHRAMASHRAM ROADAHMEDABAD554GJ,05 June 2010,"5 years, 11 month, 8 days","965,000,000","240,100,000",No,Not Applicable
CORONATION AGRO INDUSTRIES LIMITED,U99999MH1989PLC051568,Active,etggrouproc@gmail.com,"38-B,PHASE I,G.I.D.C.VATVA,AHMEDABAD554GJ",02 May 1989,"27 years, 0 month, 11 days","15,000,000","5,629,220",Yes,https://www.zaubacorp.com/company/CORONATION-AGRO-INDUSTRIES-LIMITED/U99999MH1989PLC051568
