25573,Lifetree Converg,Lifetree Convergence Limited,0,Computers - Software - Medium / Small,Delhi,lifetree@lifetreeindia.com,http://www.lifetreeindia.com,70.47,8.67,1995
25844,Rohini Foods Pri,Rohini Foods Private Limited,0,Food and Dairy Products - Indian - Medium / Small,Chennai,,,61.17,1.5,1981
26171,K L J Resources,K L J Resources Limited,1,Trading - Medium / Small,Kolkata,,,57.39,25,1986
26592,Real Growth,Real Growth Commercial Enterprises Limited,1,Trading - Medium / Small,Delhi,complianceofficer@realgrowth.co.in,http://www.realgrowth.co.in,172.1748,4,1995
26884,Vigneshwara Expo,Vigneshwara Exports Limited,0,Textiles - Others,Mumbai,ipo@vigneshwara.com,http://www.vigneshwara.com,159.77,5.54,1986
26936,S B & T Designs,S B & T Designs Limited,0,Diamond Cutting / Jewellery - Medium / Small,Mumbai,,,50.61,15,2004
27751,Indo Alusys,Indo Alusys Industries Limited,1,Aluminium - Sheets / Coils / Wires / Others,New Delhi,info@indoalusys.com,http://www.indoalusys.com,172.07,8.51,1979
27834,Vast Text,Vast Textiles Limited,0,Textiles - Cotton Yarn - Open-Ended Spinning,Alwar,,,58.94,8.57,2001
27844,Shri Prabhuling,Shri Prabhulingeshwar Sugars & Chemicals Limited,0,Sugar - Others,Dharwad,pswl@sancharnet.in,http://www.prabhusugars.com,99.19,42.74,1995
27946,Advantec Coils.,Advantec Coils Pvt Limited,0,Air-conditioners,New Delhi,,,75.68,2.87,1992
27988,Parixit Inds,Parixit Industries Limited,0,Miscellaneous - Medium / Small,Ahmedabad,ho@parixit.com,http://www.parixit.com,72.56,4.64,1989
28001,Standard Chart,Standard Chartered Finance Limited,0,Finance - Investment / Others,Mumbai,dhananjay.barve@in.standardchartered.com,,199.13,7.19,1991
28058,Ravi Organics,Ravi Organics Limited,0,Pesticides / Agrochemicals - Indian - Medium/Small,New Delhi,,http://www.raviorganics.com,68.75,7.5,1995
29422,Aurofood,Aurofood Pvt Limited,0,Food - Processing - Others,Chennai,aurofood@satyammail.com,,58.85,8.29,1966
29447,Viki Inds,Viki Industries Pvt Limited,0,Steel - Medium / Small,Chennai,,,87.74,5.85,1990
42315,Era Buildsys,Era Buildsys Limited,0,Construction - Civil / Turnkey - Medium / Small,New Delhi,,http://www.eragroup.co.in,68.46,8.28,2005
Source: Capitaline Database,,,,,,,,,,
As on:05/05/2016,,,,,,,,,,
